"","p__Acidobacteria","p__Actinobacteria","p__Aquificae","p__Armatimonadetes","p__Artverviricota","p__Atribacterota","p__Bacteroidetes","p__Balneolaeota","p__Caldiserica","p__Calditrichaeota","p__Candidatus_Absconditabacteria","p__Candidatus_Bipolaricaulota","p__Candidatus_Cloacimonetes","p__Candidatus_Korarchaeota","p__Candidatus_Lokiarchaeota","p__Candidatus_Micrarchaeota","p__Candidatus_Nanohaloarchaeota","p__Candidatus_Omnitrophica","p__Candidatus_Saccharibacteria","p__Candidatus_Thermoplasmatota","p__Chlamydiae","p__Chlorobi","p__Chloroflexi","p__Chrysiogenetes","p__Coprothermobacterota","p__Cossaviricota","p__Crenarchaeota","p__Cyanobacteria","p__Deferribacteres","p__Deinococcus-Thermus","p__Dictyoglomi","p__Elusimicrobia","p__Euryarchaeota","p__Fibrobacteres","p__Firmicutes","p__Fusobacteria","p__Gemmatimonadetes","p__Hofneiviricota","p__Ignavibacteriae","p__Kiritimatiellaeota","p__Kitrinoviricota","p__Lenarviricota","p__Negarnaviricota","p__Nitrospirae","p__Nucleocytoviricota","p__Peploviricota","p__Phixviricota","p__Pisuviricota","p__Planctomycetes","p__Preplasmiviricota","p__Proteobacteria","p__Spirochaetes","p__Synergistetes","p__Tenericutes","p__Thaumarchaeota","p__Thermodesulfobacteria","p__Thermotogae","p__un_k__Bacteria","p__Uroviricota","p__Verrucomicrobia","cancertype"
"TCGA-PK-A5HA-01",0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11339,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5K4-01",0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51172,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5JL-01",0,367,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,12801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57114,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5KT-01",0,869,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11168,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5JV-01",0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,10708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36633,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-PK-A5HB-01",0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52741,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5J6-01",0,1427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32803,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5K9-01",0,438,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28615,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46523,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5LS-01",0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,4751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5JC-01",0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69562,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-PA-A5YG-01",0,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,6547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63848,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5JQ-01",0,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78667,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5J9-01",0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,37191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30919,0,0,0,0,0,0,0,0,0,"ACC"
